SampleID,AmatoID,Species,Site,Group,Individual,Date,Age,Sex,AgeSex,Reproductive,Season,Month,Preservative,Notes,
CJAC48,CJAC-BRA-15-PG-48,Callithrix jacchus,Brazil,House,,7/23/15,Adult,Male,AdultMale,NP,Wet,July,Ethanol,,
CJAC5,CJAC-BRA-15-PG-5,Callithrix jacchus,Brazil,F group,Green Tuft,2/6/15,Juvenile,Male,JuvenileMale,NP,Dry,February,RNAlater,,
CJAC55,CJAC-BRA-15-PG-55,Callithrix jacchus,Brazil,Road,Yellow/green,7/26/15,Adult,Male,AdultMale,NP,Wet,July,RNAlater,,
CJAC56,CJAC-BRA-15-PG-56,Callithrix jacchus,Brazil,Road,,7/26/15,Juvenile,Male,JuvenileMale,NP,Wet,July,RNAlater,,
CJAC6,CJAC-BRA-15-PG-6,Callithrix jacchus,Brazil,F group,Blue,2/6/15,Adult,Male,AdultMale,NP,Dry,February,RNAlater,,
CJAC63,CJAC-BRA-15-PG-63,Callithrix jacchus,Brazil,Key,White,7/30/15,Adult,Male,AdultMale,NP,Wet,July,RNAlater,,
CJAC64,CJAC-BRA-15-PG-64,Callithrix jacchus,Brazil,Key,Yellow,7/30/15,Adult,Female,AdultFemale,Unknown,Wet,July,RNAlater,,
CJAC66,CJAC-BRA-15-PG-66,Callithrix jacchus,Brazil,Key,Green tufts,7/30/15,Juvenile,Male,JuvenileMale,NP,Wet,July,RNAlater,,
CJAC69,CJAC-BRA-15-PG-69,Callithrix jacchus,Brazil,Key,,7/30/15,Unknown,Unknown,Unknown,Unknown,Wet,July,RNAlater,,
CJAC7,CJAC-BRA-15-PG-7,Callithrix jacchus,Brazil,Coqueiro,Blue Tufts,2/7/15,Juvenile,Male,JuvenileMale,NP,Dry,February,RNAlater,,
CJAC71,CJAC-BRA-15-PG-71,Callithrix jacchus,Brazil,Key,Orange,7/30/15,Adult,Male,AdultMale,NP,Wet,July,RNAlater,,
CJAC72,CJAC-BRA-15-PG-72,Callithrix jacchus,Brazil,Princess,,8/3/15,Unknown,Unknown,Unknown,Unknown,Wet,August,RNAlater,,
CJAC74,CJAC-BRA-15-PG-74,Callithrix jacchus,Brazil,Princess,Blue orange,8/3/15,Subadult,Female,SubadultFemale,NP,Wet,August,RNAlater,,
CJAC76,CJAC-BRA-15-PG-76,Callithrix jacchus,Brazil,Princess,Red/green,8/3/15,Subadult,Female,SubadultFemale,NP,Wet,August,RNAlater,,
CJAC79,CJAC-BRA-15-PG-79,Callithrix jacchus,Brazil,Princess,Yellow/pink,8/3/15,Adult,Female,AdultFemale,P,Wet,August,RNAlater,,
CJAC8,CJAC-BRA-15-PG-8,Callithrix jacchus,Brazil,Coqueiro,Red Tufts,2/7/15,Juvenile,Male,JuvenileMale,NP,Dry,February,RNAlater,,
CJAC83,CJAC-BRA-15-PG-83,Callithrix jacchus,Brazil,House,Green/green,8/5/15,Adult,Male,AdultMale,NP,Wet,August,RNAlater,,
CJAC84,CJAC-BRA-15-PG-84,Callithrix jacchus,Brazil,House,Lilac/lilac,8/5/15,Adult,Female,AdultFemale,Unknown,Wet,August,RNAlater,,
CJAC85,CJAC-BRA-15-PG-85,Callithrix jacchus,Brazil,Princess,Blue/white,8/14/15,Adult,Male,AdultMale,NP,Wet,August,RNAlater,,
CJAC86,CJAC-BRA-15-PG-86,Callithrix jacchus,Brazil,Algaroba,orange/red,9/15/15,Adult,Male,AdultMale,NP,Wet,September,RNAlater,,
CJAC87,CJAC-BRA-15-PG-87,Callithrix jacchus,Brazil,House,Green/green,9/21/15,Adult,Male,AdultMale,NP,Wet,September,RNAlater,,
CJAC89,CJAC-BRA-15-PG-89,Callithrix jacchus,Brazil,Algaroba,Pink star,9/22/15,Subadult,Female,SubadultFemale,NP,Wet,September,RNAlater,,
CJAC94,CJAC-BRA-16-PG-94,Callithrix jacchus,Brazil,Princess,,3/14/16,Adult,Female,AdultFemale,Unknown,Dry,March,Ethanol,,
CJAC95,CJAC-BRA-16-PG-95,Callithrix jacchus,Brazil,Princess,,3/14/16,Adult,Male,AdultMale,NP,Dry,March,Ethanol,,
CJAC96,CJAC-BRA-16-PG-96,Callithrix jacchus,Brazil,Princess,,3/14/16,Adult,Unknown,AdultUnknown,Unknown,Dry,March,Ethanol,,
CJAC38,CJAC-BRA-16-PG-38,Callithrix jacchus,Brazil,Cow,Red,7/17/15,Adult,Female,AdultFemale,P,Wet,July,RNAlater,,
